id,name,serving_size,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,source_dataset,source_file,source_group
black-eyed-cowpeas-cooked,black eyed cowpeas cooked,dataset serving,160,5.2,33.5,0.6,8.3,5.3,0.036,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
hyacinth-beans-cooked,hyacinth beans cooked,dataset serving,227,15.8,40.2,1.1,0,0,0,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
cowpeas-canned,cowpeas canned,dataset serving,185,11.4,32.7,1.3,7.9,0,0.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
pinto-beans-cooked,pinto beans cooked,dataset serving,245,15.4,44.8,1.1,15.4,0.6,0.085,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
winged-beans-cooked,winged beans cooked,dataset serving,253,18.3,25.7,10,0,0,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
pinto-beans-raw,pinto beans raw,dataset serving,670,41.3,120.7,2.4,29.9,4.1,0.036,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
black-turtle-beans-raw,black turtle beans raw,dataset serving,624,39.1,116.4,1.7,28.5,3.9,0.041,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
fava-beans-raw,fava beans raw,dataset serving,512,39.2,87.4,2.3,37.5,8.6,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
lima-beans-canned,lima beans canned,dataset serving,190,11.9,35.9,0.4,11.6,0,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
hyacinth-beans-raw,hyacinth beans raw,dataset serving,722,50.2,127.6,3.5,53.8,0,0.073,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
white-beans-raw,white beans raw,dataset serving,673,47.2,121.7,1.7,30.7,4.3,0.051,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
snap-beans-canned,snap beans canned,dataset serving,66,3.5,15.4,0.4,6.6,0,0.09,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
navy-beans-canned,navy beans canned,dataset serving,296,19.7,53.6,1.1,13.4,0.7,1.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
mung-beans-raw,mung beans raw,dataset serving,718,49.4,129.6,2.4,33.7,13.7,0.085,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
adzuki-beans-raw,adzuki beans raw,dataset serving,648,39.1,123.9,1,25,0,0.06,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
black-turtle-beans-cooked,black turtle beans cooked,dataset serving,241,15.1,45,0.6,15.4,0.6,0.06,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
pink-lentils-raw,pink lentils raw,dataset serving,662,47.9,113.6,4.2,20.7,0,0.092,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
yellow-beans-raw,yellow beans raw,dataset serving,676,43.1,119,5.1,49.2,0,0.046,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
white-beans-cooked,white beans cooked,dataset serving,249,17.4,44.9,0.6,11.3,0.6,0.045,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
lentils-raw,lentils raw,dataset serving,678,49.5,115.4,2,58.6,3.9,0.039,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
cranberry-beans-cooked,cranberry beans cooked,dataset serving,241,16.5,43.3,0.8,17.7,0,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
chickpeas-raw,chickpeas raw,dataset serving,728,38.6,121.3,12.1,34.8,21.4,0.005,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
lentils-cooked,lentils cooked,dataset serving,230,17.9,39.9,0.8,15.6,3.6,0.016,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
baked-beans-canned,baked beans canned,dataset serving,239,12.1,53.7,0.9,10.4,20.2,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
